,JobTitle,CompanyName,City,CityGrouping,Salary
380,Senior Java Computer Scientist,Workbridge Associates,Chicago,Chicago,130000.0
414,Director of Data Science,Workbridge Associates,Chicago,Chicago,180000.0
454,Data Scientist / Bioinformatics (co-founder),Medlytic,San Francisco,San Francisco,110000.0
455,Data Scientist,kWh Analytics,San Francisco,San Francisco,120000.0
477,Data Scientist,MarkMonitor,San Francisco Bay Area,San Francisco,180000.0
482,Senior Level Data Scientist,Workbridge Associates,San Francisco,San Francisco,142500.0
484,Full-Stack Data Scientist,Mines.io,San Francisco,San Francisco,100000.0
486,Senior Data Scientist,Workbridge Associates,San Francisco,San Francisco,150000.0
504,Data Scientist,Workbridge Associates,San Francisco,San Francisco,165000.0
544,Business Intelligence/Data Scientist at VC Bay Area Start-up,Selby Jennings,San Francisco,San Francisco,160000.0
563,Senior Data Scientist (Healthcare),Workbridge Associates,Berkeley,San Francisco,137500.0
566,Data Scientist (Natural Language Processing),Corporate Labs Technology,Brisbane,San Francisco,145000.0
589,Data Scientist,Smith Hanley Associates,San Francisco,San Francisco,150000.0
649,Mid-Level Data Scientist,Workbridge Associates,San Francisco,San Francisco,130000.0
759,"Data Analyst II (Department: Research, Assessment & Data)",Oakland Unified School District,Oakland,San Francisco,84649.0
785,Senior Data Scientist (Econometrics),Workbridge Associates,San Francisco,San Francisco,130000.0
817,Senior Data Scientist,HSF Consulting,San Francisco,San Francisco,160000.0
819,Data Scientist (Machine Learning),Corporate Labs Technology,Brisbane,San Francisco,145000.0
847,Research Technician II - Office of Research and Sponsored Pr...,San Francisco State University,San Francisco,San Francisco,21294.0
862,Quantitative Researcher - Statistical Machine Learning - Hed...,NJF Search,Berkeley,San Francisco,200000.0
874,Senior NLP Scientist/Engineer,Brilent,San Mateo,San Francisco,150000.0
919,Senior Statistician,"Zachary Piper, LLC",Boston,Boston,127500.0
937,Chief Data Scientist,Jobspring Partners,Boston,Boston,240000.0
950,Statistician (Health),Department Of Veterans Affairs,Boston,Boston,106317.0
965,Data Scientist,Strategic Employment Partners,Boston,Boston,170000.0
983,Data Scientist,Jobspring Partners,Boston,Boston,100000.0
998,Research Analyst III,Commonwealth of Massachusetts,Boston,Boston,64942.0
1014,Senior Data Scientist,Jobspring Partners,Boston,Boston,150000.0
1015,Data Scientist,Analytic Recruiting,Boston,Boston,110000.0
1016,Senior Data Scientist,Strategic Employment Partners,Cambridge,Boston,130000.0
1028,Data Scientist,Apptopia Inc,Boston,Boston,100000.0
1043,Lead Data Scientist,Strategic Employment Partners,Cambridge,Boston,150000.0
1045,Principal Analyst\Asst. Director Data Science,Liberty Mutual,Boston,Boston,112500.0
1149,Quantitative Analyst or Manager Decision Sciences,Analytic Recruiting,Boston,Boston,110000.0
1189,"Data Analysts, Data Scientists - Kendall Square startup",The Bivium Group,Cambridge,Boston,107500.0
1267,Data Scientist,SEP BOS,Cambridge,Boston,130000.0
1287,VP - Predictive Modeling / Data Scientist,3coast,Boston,Boston,140000.0
1293,VP - Predictive Modeling / Data Scientist,3coast,Boston,Boston,140000.0
1315,SENIOR RESEARCH ANALYST,Boston Redevelopment Authority,Boston,Boston,63000.0
1331,Senior Data Scientist,Execu | Search,Boston,Boston,120000.0
1382,Principal Data Scientist - Supply Chain,Analytic Recruiting,Dallas,Dallas,130000.0
1415,Business Data Analyst,North shore Staffing Group,Dallas,Dallas,95000.0
1434,Customer Intelligence Analyst,Aquent Staffing,Dallas,Dallas,75000.0
1476,Senior Manager Supply Chain Analytics,Analytic Recruiting,Dallas,Dallas,165000.0
1489,VP - Predictive Modeling / Data Scientist,3coast,Dallas,Dallas,140000.0
1517,React.js Developer - Machine Learning,Workbridge Associates,Addison,Dallas,112500.0
1519,Data Analyst Market - Research Analyst,Steele Careers,Grapevine,Dallas,58000.0
1525,"Software Engineer, Cloud",Liquid Analytics,Dallas,Dallas,80000.0
1593,Sr. Risk Statistician,All-In Analytics,Dallas,Dallas,100000.0
1607,"Software Engineer, Java",Liquid Analytics,Dallas,Dallas,70000.0
1612,Senior Research Analyst,Boy Scouts of America,Irving,Dallas,65000.0
1662,"SR. SOFTWARE ENGINEER - JAVA, BIG DATA, MACHINE LEARNING","Riccione Resources, Inc.",Addison,Dallas,85000.0
1815,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,Averity,Philadelphia,Philadelphia,250000.0
1819,"Data Scientist- Python, R, SQL",Workbridge Associates,Philadelphia,Philadelphia,140000.0
1821,Lead Data Scientist,Jobspring Partners,Philadelphia,Philadelphia,150000.0
1830,Data Scientist- Entry Level,Juno Search Partners,Bristol,Philadelphia,40000.0
1832,Senior Research and Data Analyst,PMHCC,Philadelphia,Philadelphia,58025.0
1862,Biologist (Computational),Department Of Agriculture,Wyndmoor,Philadelphia,87284.0
1882,Risk Data Scientist,All-In Analytics,Philadelphia,Philadelphia,110000.0
1891,Big Data Engineer | Remote | Mature Start-up,TEEMA Solutions Group,Philadelphia,Philadelphia,150000.0
1964,Statistical Analyst,Analytic Recruiting,Philadelphia,Philadelphia,90000.0
2013,Senior DevOps Engineer | Remote | Mature Start-up,TEEMA Solutions Group,Philadelphia,Philadelphia,150000.0
2042,Data Architect / Data Scientist,"Aavalar Consulting, Inc.",Wilmington,Philadelphia,125000.0
2297,Data Scientist,Jobspring Partners,Marina del Rey,Los Angeles,110000.0
2314,Senior Data Scientist,Intelletec LLC,Los Angeles,Los Angeles,180000.0
2376,A.I. Psychologist/Research Assistant,AGI Innovations Inc,Redondo Beach,Los Angeles,34000.0
2435,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,Los Angeles,Los Angeles,77436.0
2452,HUMAN RESOURCES ANALYST IV - Test Research,Los Angeles County Department of Human Resources,Los Angeles,Los Angeles,101654.0
2474,"MEDICAL TECHNOLOGIST, DATA SYSTEMS",Los Angeles County Department of Human Resources,Los Angeles,Los Angeles,86180.0
2549,Data Scientist,Lawrence Harvey,Los Angeles,Los Angeles,95000.0
2553,Clinical Laboratory Scientist (CLS),"Exact Staff, Inc.",Los Angeles,Los Angeles,90000.0
2616,"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Human Resources,Los Angeles,Los Angeles,62339.0
2640,Realty Specialist,Department of the Army,Los Angeles,Los Angeles,51392.0
2690,Java Developer,LT,Los Angeles,Los Angeles,180000.0
2700,Machine Learning - Big Data,PeopleScout,Raleigh-Durham,Raleigh,130000.0
2705,Statistical Programmer,"Zachary Piper, LLC",Durham,Raleigh,70000.0
2708,Data Scientist,Piper Enterprise Solutions,Research Triangle Park,Raleigh,110000.0
2717,Sr Software Engineer - Big Data/Machine Learning,PeopleScout,Raleigh-Durham,Raleigh,125000.0
2734,Agriculturist,Department Of Agriculture,Raleigh,Raleigh,110445.0
2744,Machine Learning Econometrician,All-In Analytics,Research Triangle Park,Raleigh,150000.0
2777,Associate Scientist,Piper Clinical Solutions,Durham,Raleigh,46000.0
2790,"Sr. Deep Learning Data Scientist, Mobile",All-In Analytics,Research Triangle Park,Raleigh,150000.0
2805,Public Health Zika Virus Specialist,State of North Carolina,Wake County,Raleigh,76215.0
2833,Executive Assistant - DPET,University of North Carolina,Chapel Hill,Raleigh,49148.0
2853,Sr. Pricing Data Scientist,All-In Analytics,Research Triangle Park,Raleigh,137500.0
2857,Teaching Technician,North Carolina State University,Raleigh,Raleigh,58442.0
2878,Public Health Zika Virus Specialist,North Carolina Office of State Human Resources,Wake County,Raleigh,76215.0
2895,Research Plant Physiologist (Postdoctoral Research Associate...,Department Of Agriculture,Raleigh,Raleigh,77192.0
3149,Scientific Information Specialist,Centers for Disease Control and Prevention,Atlanta,Atlanta,94531.0
3166,Health Scientist,Centers for Disease Control and Prevention,Atlanta,Atlanta,79247.0
3168,Sr Data Scientist,"eHire, LLC",Atlanta,Atlanta,150000.0
3201,Policy and Research Analyst,Office of Student Achievement,Atlanta,Atlanta,65000.0
3225,Data Scientist / SQL,firstPRO,Atlanta,Atlanta,100000.0
3242,Supervisory Health Scientist,Centers for Disease Control and Prevention,Atlanta,Atlanta,141158.0
3245,C++ Developer / Machine Learning,firstPRO,Atlanta,Atlanta,120000.0
3270,Director of Data,Velossent,Atlanta,Atlanta,160000.0
3274,Market Research Analyst,"Wismettac Asian Foods, Inc.",Norcross,Atlanta,50794.0
3276,Interdisciplinary Health Scientist/ Behavioral Scientist,Centers for Disease Control and Prevention,Atlanta,Atlanta,94531.0
3301,Sr. Data Scientist,CHASE Professionals,Duluth,Atlanta,110000.0
3307,Statistical Data Analyst,Ga. Dept. of Admin. Services,Atlanta,Atlanta,41000.0
3320,Associate Research Analyst,CSTE,Atlanta,Atlanta,54182.0
3332,Statistical Credit Risk Modeler | Top Performing Investment...,Selby Jennings,Atlanta,Atlanta,212500.0
3362,Microbiologist,Centers for Disease Control and Prevention,Atlanta,Atlanta,101553.0
3391,Research Statistician - Payment Cards,Smith Hanley Associates,Atlanta,Atlanta,87500.0
3458,Audit Snr (Banking) - Data Analysis 60K-80K,Synergy Search Group,Atlanta,Atlanta,80000.0
3469,Real Estate / Title Research Analyst,JVI,Roswell,Atlanta,55000.0
3471,Marketing Statistician,Smith Hanley Associates,Atlanta,Atlanta,87500.0
3527,School Business Manager and Human Resources (HR),Amana Academy Charter School,Atlanta,Atlanta,34999.0
3544,DevOps Engineer,Principle Solutions Group,Atlanta,Atlanta,80000.0
3606,Data Scientist,Prime Team Partners,Seattle,Seattle,150000.0
3649,Digital Data Scientist,All-In Analytics,Seattle,Seattle,190000.0
3650,Data Science Engineer,Harvey Nash USA,Seattle,Seattle,135000.0
3666,Data Scientist (Software Engineering),Pullskill Technologies,Seattle,Seattle,120000.0
3681,Software Development Engineer (Machine Learning),"Rakuten, Inc.",Seattle,Seattle,140000.0
3750,"Sr. Data Scientist, Compensation Analytics",All-In Analytics,Seattle,Seattle,120000.0
3794,BI/Data Architect,Seattle Pacific University,Seattle,Seattle,82500.0
3876,Senior Business Intelligence Data Scientist,All-In Analytics,Seattle,Seattle,190000.0
3949,Data Scientist,All-In Analytics,Seattle,Seattle,150000.0
3978,Senior Business Intelligence Scientist,All-In Analytics,Seattle,Seattle,190000.0
4068,Data Scientist,Oliver James Associates,New York,New York,185000.0
4093,Senior Data Scientist ($150k),Averity,New York,New York,150000.0
4132,Data Scientist,Selby Jennings,New York,New York,150000.0
4141,Statistician/Data Analyst-PHARM,Smith Hanley Associates,New York,New York,90000.0
4146,Data Scientist - Advertising Analytics,Empiric Solutions,New York,New York,130000.0
4186,Sr. Machine Learning Data Scientist,Wade & Wendy,New York,New York,130000.0
4189,"STATISTICIAN, LEVEL I",POLICE DEPARTMENT,New York,New York,51363.0
4199,Data Scientist,Technical Source,Armonk,New York,200000.0
4203,Director of Qualitative Review & Evaluation Unit,ADMIN FOR CHILDREN'S SVCS,New York,New York,97866.0
4214,"Director of Research, Evaluation and Reporting, Health Acces...",NYC Dept. of Health and Mental Hygiene,New York,New York,97866.0
4230,Lead Data Scientist,Empiric Solutions,New York,New York,150000.0
4232,Data Scientist,Datacom Technology Group,New York,New York,200000.0
4242,Data Scientist,Smith Hanley Associates,New York,New York,132500.0
4260,Data Scientist,TalentHub Worldwide,New York,New York,105000.0
4277,Lead/Principal Data Scientist,Empiric Solutions,New York,New York,165000.0
4304,Data Scientist,New York State Senate,Jefferson Valley-Yorktown,New York,50000.0
4307,Machine Learning Data Scientist,All-In Analytics,New York,New York,132500.0
4308,Water Quality Modeler,Research Foundation of The City University of New...,New York,New York,61500.0
4318,Data Scientist - Health+Care,Empiric Solutions,New York,New York,135000.0
4324,Quantitative Analyst for Global Quant Fund,Averity,New York,New York,225000.0
4326,Data Scientist (Lead),Smart Host,New York,New York,75000.0
4333,Data Scientist,DEPT OF PARKS & RECREATION,Manhattan,New York,91000.0
4355,SENIOR RESEARCH STAFF ASSISTANT,Columbia University,New York,New York,45000.0
4383,Data Engineer for $100B Manager ($200k+Benefits),Averity,New York,New York,175000.0
4396,Senior Data Analyst,Helix Sleep,New York,New York,100000.0
4457,Analytics Senior Director,Analytic Recruiting,New York,New York,195000.0
4458,Computer Systems Manager I,DEPARTMENT OF SANITATION,New York,New York,99521.0
4476,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,Averity,New York,New York,250000.0
4499,Research Analyst,The Taylor-Wilks Group,Baltimore,Baltimore,30000.0
4501,Sr. Research Data Analyst,Johns Hopkins University,Baltimore,Baltimore,59339.0
4503,Machine Learning Scientist/Architect - TS/SCI with Poly requ...,"Resolute Technologies, LLC",Hanover,Baltimore,190000.0
4507,Principal Scientist-Environmental,WSSC,Laurel,Baltimore,124297.0
4514,Sr. Institutional Research Analyst,Johns Hopkins University,Baltimore,Baltimore,58175.0
4530,EPIDEMIOLOGIST I,State of Maryland,Baltimore,Baltimore,50508.0
4531,Sr. Program Officer,Johns Hopkins University,Baltimore,Baltimore,78483.0
4534,Lead Data Scientist,Net-Consultants,Baltimore,Baltimore,140000.0
4535,Pathways Recent Graduate Computer Scientist,Department of Defense,Fort Meade,Baltimore,54351.0
4562,ADMINISTRATOR II *RE-OPENED* (EMS Data Analysis Program Mana...,State of Maryland,Baltimore,Baltimore,60934.0
4587,Research Service Analyst,Johns Hopkins University,Baltimore,Baltimore,48201.0
4591,"Research Physical Scientist, AST, Climate and Radiation Stud...",National Aeronautics and Space Administration,Greenbelt,Baltimore,116850.0
4592,Mathematical Statisticians,National Security Agency,Fort George G Meade,Baltimore,75091.0
4610,Sr. Research Service Analyst,Johns Hopkins University,Baltimore,Baltimore,57329.0
4617,Project Administrator,Johns Hopkins University,Baltimore,Baltimore,78483.0
4637,Research Specialist,Johns Hopkins University,Baltimore,Baltimore,43123.0
4640,Chief Data Officer,ATHENA Consulting,Baltimore,Baltimore,107500.0
4665,Sr. Research Program Coordinator,Johns Hopkins University,Baltimore,Baltimore,43623.0
4682,Annual Giving Officer,Johns Hopkins University,Baltimore,Baltimore,65643.0
4698,Statistical Process Control Analyst.,Seneca Resources,Columbia,Baltimore,80000.0
4722,CO Assistant Administrator - Clinical,Johns Hopkins University,Baltimore,Baltimore,91140.0
4723,Data Scientist/Java Analytic Developer - DOD,Deployment Staffing,Fort Meade,Baltimore,100000.0
4754,Senior Development Research Analyst for Principal Gifts,Johns Hopkins University,Baltimore,Baltimore,48201.0
4775,Research Analyst,Johns Hopkins University,Baltimore,Baltimore,67373.0
4798,Mathematicians,National Security Agency,Fort George G Meade,Baltimore,75091.0
4813,Earned Value Management & Cost Research Analyst,National Security Agency,Fort George G Meade,Baltimore,75091.0
4829,INSPECTOR/INVESTIGATOR,Department of the Navy,Fort Meade,Baltimore,105969.0
4842,Earned Value Management & Cost Research Analyst - Experience...,National Security Agency,Fort George G Meade,Baltimore,116850.0
4846,Environmental Scientist,WSSC,Laurel,Baltimore,93986.0
4879,Assist with coordinating pre and post award sponsored activi...,Johns Hopkins University,Baltimore,Baltimore,48201.0
4893,Earned Value Management & Cost Research Analyst - Experience...,National Security Agency (NSA),Fort Meade,Baltimore,116850.0
4894,Earned Value Management & Cost Research Analyst,National Security Agency (NSA),Fort Meade,Baltimore,75091.0
4897,"Research Astrophysicist, AST, Stellar, Galactic, and Extra G...",National Aeronautics and Space Administration,Greenbelt,Baltimore,116850.0
